,product_article,product_title,product_image_url,product_price
0,toolsby_1069104,Топор универсальный X24 M FISKARS,https://content.tools.by/images/products/cz-0119324506/d71/d71agjrx4RW99MwK5oSxGHtTpFIBgxZ99qh2faKJ.jpg,328.5
1,toolsby_1069103,Топор универсальный X18 S FISKARS,https://content.tools.by/images/products/cz-0228265346/nkd/nkdqliTVwx1Y97ifCbKmiDlXgLBIKXniTX6RrVzj.jpg,218.7
2,toolsby_1069107,Топор-колун X28 M FISKARS,https://content.tools.by/images/products/cz-0101604888/zv3/zv3nSmQYzvxvXpOuUDMzA8TMsC0fX9fr0OqHZ6xv.jpg,295.7
3,toolsby_1069108,Топор-колун X32 L FISKARS,https://content.tools.by/images/products/cz-3538844400/gL7/gL7QIxwaCeDkpW7xYUkhB9N9ws5dYrNPOXjV1iEh.jpg,328.5
4,toolsby_1069109,Топор-колун X36 L FISKARS,https://content.tools.by/images/products/cz-0112605821/Hdf/Hdfx07DE797FwftGXowGW94dCNej8t2XH2gDArTl.jpg,355.8
5,toolsby_1003622,Багор для бревен малый WoodXpert XA2 FISKARS,https://content.tools.by/images/products/cd-0033180878/hno/hnoCKaWrjXHI65vkIsc1vbw9kyyFK4oM1WPra1Cn.jpg,220.2
6,toolsby_1070715,Вилы садовые White FISKARS,https://content.tools.by/images/products/cb-3574901645/1yj/1yjC3qzveyxw97pyTl2hSxRM9Mbi32MJiUWH01oT.jpg,162.8
7,toolsby_1070717,Вилы садовые телескопические SmartFit  FISKARS,https://content.tools.by/images/products/cb-0004464352/UtB/UtBeBTRhgggDQk0DEmzx2Y1EmQcyi14O2uWyxwt8.jpg,310.4
8,toolsby_1077113,Грабли для грунта мет. Ergonomic Soil FISKARS,https://content.tools.by/images/products/cz-2624980614/ynS/ynSwftjuOeSoaIBDIoR5HQKso00hjrQJ1yjGoHTI.jpg,113.1
9,toolsby_1027039,Грабли для грунта средние Xact FISKARS,https://content.tools.by/images/products/cd-1822530600/O9t/O9tlVt2hWAqqu8BtwTkYLV5bAfaHRYrglAycYEoR.jpg,132.4
10,toolsby_1063090,Грабли для листьев M Solid FISKARS,https://content.tools.by/images/products/cd-0165463386/fiz/fizldJ3a15ves1xIWShEEPvPhd80PYK1z6a12jYm.jpg,86.6
11,toolsby_1027036,Грабли для листьев XXL Xact FISKARS,https://content.tools.by/images/products/cd-0239466348/DJa/DJaIpwfzZjI2I1Te48Eg8R8VjnhkNVafcfhuQ27I.jpg,138.7
12,toolsby_1001586,Грабли для листьев с чер. Classic FISKARS,https://content.tools.by/images/products/cd-0290518832/H43/H43wJD4VCiUk8zNjPrXGCqgOAfK9jj7lQx6DzvrW.jpg,97.6
13,toolsby_1003625,Захватные клещи для бревен WoodXpert FISKARS,https://content.tools.by/images/products/cd-0001709544/3AT/3ATXRv7qj7xckzeJlSrTrCpyDcCvHe8SziftvIKA.jpg,233.4
14,toolsby_1062832,Коврик садовый Solid FISKARS,https://content.tools.by/images/products/cd-1042291740/gBm/gBm3znDQy9koIlABGLBA7pGAEBLh3kEbYmhGVlXA.jpg,36.5
15,toolsby_1027019,Культиватор Ergo FISKARS,https://content.tools.by/images/products/cg-1214611020/LSo/LSoDtVtVybVke2sL1bei6KIR85GlNYWaICCj46Fr.jpg,44.0
16,toolsby_1066713,Лопата  для строительных растворов Ergonomic Pro FISKARS,https://content.tools.by/images/products/cz-0023311575/VVW/VVWPHdlP5cPvXy61698wZZvmsr9Vgxm159qsfKCI.jpg,175.5
17,toolsby_1066731,Лопата совковая  Xact FISKARS,https://content.tools.by/images/products/cz-2116870454/q0R/q0Rte8JNGjIZm0uCPdAT5Oyq1Le65eZaEanHV8K7.jpg,216.8
18,toolsby_1066711,Лопата совковая Ergonomic Pro FISKARS,https://content.tools.by/images/products/cz-4269910519/lBK/lBKL5YggZ55xwEnpUKNBgBapkrXFgqqV7RRHjWN2.jpg,170.1
19,toolsby_1066723,Лопата совковая с дер. черенком и ручкой FISKARS,https://content.tools.by/images/products/cz-0000001472/SMr/SMr1czyfnD0HnkDLBz1odM1XBPIASQBZawdge12I.jpg,111.7
20,toolsby_1066720,Лопата совковая с ручкой Solid  FISKARS,https://content.tools.by/images/products/cz-0002310144/Jvx/JvxW2RP3EhfO03rLLBmYBKpYUfXvP5SYWofq09eX.jpg,111.9
21,toolsby_1066734,Лопата совковая телескопическая Xact FISKARS,https://content.tools.by/images/products/cz-0219586212/klV/klVxO3ISgqV7q5EXT5M5hak9JJciZvdmQlsrqLQb.jpg,224.3
22,toolsby_1067516,Лопата штыковая с удлиненным лезвием  XL Blade FISKARS,https://content.tools.by/images/products/cz-6964182835/9ds/9ds38b4SZruVMw7CiNMlogQLJC1AZmjEqHHoSi2N.jpg,107.8
